"fulladdress","lon","lat"
"316 Harbour Drive, Coffs Harbour NSW 2450 AU",153.1322482,-30.3058586
"180 Edward St, WAGGA WAGGA NSW 2650 AU",147.3640418,-35.1184441
"399 Pacific Highway, Coffs Harbour NSW 2450 AU",153.0890415,-30.31949
"Cnr Pacific Hway & Midge St, COOLONGOLOOK NSW 2423 AU",152.8690518,-30.8010167
"91 Elsham Avenue, ORANGE NSW 2800 AU",149.1062431,-33.3086237
"65 Garfield Road West & Richmond Road, Marsden Park NSW 2765 AU",150.8531022,-33.6850234
"112 Rookwood (Cnr Brunker) Rds, Yagoona NSW 2199 AU",151.0370842,-33.8985197
"19 Davies Road, Padstow NSW 2211 AU",151.03772,-33.9485613
"Cnr Brooks St & New England Highway, Rutherford NSW 2320 AU",150.8895753,-33.9889166
"11 Grantham Street, Boggabri NSW 2382 AU",150.0417826,-30.7109455
"283 Manns Rd Cnr Merinee Rd, Gosford West NSW 2250 AU",151.325122,-33.4166264
"884-888 Hume Hwy (Cnr Strickland St), Bass Hill NSW 2197 AU",150.9975012,-33.8996197
"60 Glenn Street, Belrose NSW 2085 AU",151.2091286,-33.740065
"Cnr Naval College Rd & Moona Creek Rd, Vincentia NSW 2540 AU",150.6562329,-35.0777232
"29-37 Fitzroy St (Cnr Herlihy St), Tumut NSW 2720 AU",148.2243058,-35.3000764
"Cnr Church Street & Meade Street, GLEN INNES NSW 2370 AU",NA,NA
"75-78 Bells Line Of Road, NORTH RICHMOND NSW 2754 AU",150.71847,-33.5793006
"678 The Horsley Drv (Cnr Cumberland Hwy), Smithfield NSW 2164 AU",150.9399718,-33.853764
"4949 New England Hwy, McDougalls Hill NSW 2330 AU",151.1491495,-32.5453609
"40 Richardson Rd, RAYMOND TERRACE NSW 2324 AU",151.7628705,-32.7560675
"436 Wagga Rd Cnr Dick Rd, Lavington NSW 2641 AU",146.944488,-36.0448917
"3964 Wallanbah Road, NABIAC NSW 2312 AU",152.3754019,-32.0986494
"87-89 Parramatta Rd, CONCORD NSW 2137 AU",151.0992709,-33.867866
"211-213 Anzac Parade, KENSINGTON NSW 2033 AU",151.2251014,-33.9146899
"141 Church Street, GLOUCESTER NSW 2422 AU",151.9578803,-32.0123311
"56 Docker St, WAGGA WAGGA NSW 2650 AU",147.3558074,-35.1173827
"21 White St Cnr Marius St, Tamworth NSW 2350 AU",150.9342339,-31.0924908
"602-606 Great Western Hwy, Pendle Hill NSW 2145 AU",150.9420023,-33.8082599
"30A Pacific Hwy, Gosford West NSW 2250 AU",151.3706875,-33.3521856
"265-267 Lake Albert Rd, KOORINGAL NSW 2650 AU",147.3755366,-35.1407736
"334-336 Parramatta Rd, HOMEBUSH WEST NSW 2140 AU",151.0681389,-33.8581667
"70- 74 Summer Street, ORANGE NSW 2800 AU",149.0935503,-33.2828307
"775 Princes Hwy, TEMPE NSW 2044 AU",151.1595959,-33.9254251
"69-71 Pacific Highway, Gosford West NSW 2250 AU",151.1779997,-33.7850416
"2 Alison Rd, RANDWICK NSW 2031 AU",151.2320108,-33.9066136
"793-797 Pittwater Rd, DEE WHY NSW 2099 AU",151.2920603,-33.7456837
"600 Liverpool Rd, STRATHFIELD SOUTH NSW 2136 AU",151.0750667,-33.8884839
"79 Union Road, NORTH ALBURY NSW 2640 AU",146.948885,-36.0548934
"19-25 Merimbula Drive, Merimbula NSW 2548 AU",149.9089176,-36.8875785
"1163 Mamre Rd, Kemps Creek NSW 2178 AU",150.7967099,-33.8697082
"NARELLAN RD CNR MAXWELL PL, NARELLAN NSW 2567 AU",150.743567,-34.0401236
"Cobra Street Cnr Brisbane Street, DUBBO NSW 2830 AU",148.6026807,-32.2533962
"740-742 Pittwater Rd, BROOKVALE NSW 2100 AU",151.274532,-33.7614677
"Cnr Onyx St, LIGHTNING RIDGE NSW 2834 AU",147.973884,-29.4283109
"100 Princes Hwy Cnr Browns Rd, South Nowra NSW 2541 AU",150.6029282,-34.9050355
"Portion 101 Newell Highway (Cnr Tooraweenah Road), Gilgandra NSW 2827 AU",148.6784498,-31.7030846
"43 Panmure Rd (Cnr Windsor Road), Rouse Hill NSW 2155 AU",150.9163719,-33.6828354
"2-4 Kippax St, Greystanes NSW 2145 AU",150.9379245,-33.8279127
"319 New England Highway, 319 New England Highway, RUTHERFORD NSW 2320 AU",151.518838,-32.7125672
"93 Pacific Highway, Charlestown NSW 2290 AU",151.6956876,-32.9663446
"924 Victoria Rd, WEST RYDE NSW 2114 AU",151.0934931,-33.8109474
"52 Great Western Hwy (cnr Albion St), Katoomba NSW 2780 AU",150.3067193,-33.7071104
"1432 Windsor Rd (cnr Woodlands St), Vineyard NSW 2765 AU",150.85619,-33.65021
"15 Glastonbury Ave, UNANDERRA NSW 2526 AU",150.8564382,-34.4586533
"518 Rocky Point Road, Sans Souci NSW 2219 AU",151.1324083,-33.992469
"1004 Botany Rd., Mascot NSW 2020 AU",151.1936435,-33.9327122
"Cnr Manning River Dr & Glenthorne, Taree South NSW 2430 AU",152.465369,-31.9289391
"663 Warringah Road, Forestville NSW 2087 AU",151.2192601,-33.7595839
"45 Boolcarrol Road, Wee Waa NSW 2388 AU",149.4326073,-30.2242132
"158 Clyde Street (Cnr Redfern St), Granville NSW 2142 AU",151.0125241,-33.8462394
"449 Captain Cook Drive, Woolooware NSW 2230 AU",151.1438698,-34.0387154
"100 Bonnyrigg Avenue, Bonnyrigg NSW 2177 AU",150.888924,-33.886739
"774 Parramatta Road, Lewisham NSW 2049 AU",151.1478751,-33.8903062
"Cnr Allison Cres & Old Menai Road, Menai NSW 2234 AU",151.0175891,-34.0140586
"218 King Georges Road, Roselands NSW 2196 AU",151.0734516,-33.9330368
"163 The Boulevarde (Cnr Pery St), Fairfield Heights NSW 2165 AU",150.9378248,-33.866618
"400 Parramatta Road, Burwood NSW 2134 AU",151.1014558,-33.8687132
"Cnr The Kingsway & Port Hacking Road, Miranda NSW 2228 AU",151.1197993,-34.0394311
"656 Warringah Road, FORESTVILLE NSW 2087 AU",151.2120428,-33.7596126
"702-704 Warringah Road, Forestville NSW 2087 AU",151.207051,-33.761761
"73-87 Oxide Street, BROKEN HILL NSW 2880 AU",141.465852,-31.9553279
"Mulgoa Road & Wolseley Road, Jamisontown NSW 2750 AU",150.6544177,-33.8062023
"42-50 Sydney St, MUSWELLBROOK NSW 2333 AU",150.8867393,-32.2686268
"1443 Camden Valley Way, Leppington NSW 2171 AU",150.8156023,-33.9664016
"Frenchmans Rd & Clovelly Rd, Randwick NSW 2031 AU",-122.1643334,37.415394
"274-276 Grand Parade (Cnr Ramsgate Rd), Ramsgate NSW 2217 AU",151.1469428,-33.9854623
"Cnr Mitchell Hwy and Wheelers Lane, Dubbo NSW 2830 AU",148.6308613,-32.2559128
"61 Hawkins Street, Howlong NSW 2643 AU",146.6281492,-35.9794913
"277-281 Princes Highway, Carlton NSW 2218 AU",151.1272666,-33.9749314
"477-483 Miller St & Palmer St, Cammeray NSW 2062 AU",-74.1732989,40.7163731
"630-634 Liverpool Road, Strathfield South NSW 2136 AU",151.0709722,-33.8867179
"353-355 Edward St, Wagga Wagga NSW 2650 AU",147.3510115,-35.11615
"21 Maitland Road, Hexham NSW 2322 AU",151.6934406,-32.846682
"38-46 Victoria Rd, Drummoyne NSW 2047 AU",151.1592246,-33.8556576
"102-108 Taren Point Road, Taren Point NSW 2229 AU",151.1221591,-34.0202262
"797 Pacific Hwy, Belmont South NSW 2280 AU",151.6551749,-33.0510815
"504 Pacific Hwy (Cnr Maude St), Belmont NSW 2280 AU",151.660654,-33.0331975
"105 Pacific Hwy (Cnr Kangaroo St), Raymond Terrace NSW 2324 AU",151.7610797,-32.7703089
"470 Princes Hwy (Cnr The Boulevarde), Gymea NSW 2232 AU",151.0843479,-34.0274721
"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225 AU",151.0758736,-34.0089204
"352-360 Clarinda Street, PARKES NSW 2870 AU",148.17372,-33.1332663
